,index,Method,$\widehat{\beta}$
598,4,sample everything,0.8787878787878789
599,5,oblivious (partial),0.8484848484848485
600,0,active (partial),0.8686868686868687
601,1,active (partial+cons_cv),0.8686868686868687
602,2,active (shifted),0.8787878787878789
603,3,active (full),0.8686868686868687
604,4,sample everything,0.9090909090909092
605,5,oblivious (partial),0.8787878787878789
606,0,active (partial),0.8585858585858587
607,1,active (partial+cons_cv),0.8585858585858587
608,2,active (shifted),0.8484848484848485
609,3,active (full),0.8585858585858587
610,4,sample everything,0.8484848484848485
611,5,oblivious (partial),0.8787878787878789
612,0,active (partial),0.8787878787878789
613,1,active (partial+cons_cv),0.8585858585858587
614,2,active (shifted),0.8686868686868687
615,3,active (full),0.8787878787878789
616,4,sample everything,0.8787878787878789
617,5,oblivious (partial),0.8787878787878789
618,0,active (partial),0.8686868686868687
619,1,active (partial+cons_cv),0.8686868686868687
620,2,active (shifted),0.8686868686868687
621,3,active (full),0.8686868686868687
622,4,sample everything,0.888888888888889
623,5,oblivious (partial),0.8787878787878789
624,0,active (partial),0.8686868686868687
625,1,active (partial+cons_cv),0.8686868686868687
626,2,active (shifted),0.8686868686868687
627,3,active (full),0.8686868686868687
628,4,sample everything,0.8989898989898991
629,5,oblivious (partial),0.8585858585858587
630,0,active (partial),0.888888888888889
631,1,active (partial+cons_cv),0.8787878787878789
632,2,active (shifted),0.888888888888889
633,3,active (full),0.888888888888889
634,4,sample everything,0.8989898989898991
635,5,oblivious (partial),0.8686868686868687
636,0,active (partial),0.8585858585858587
637,1,active (partial+cons_cv),0.8080808080808082
638,2,active (shifted),0.8080808080808082
639,3,active (full),0.8585858585858587
640,4,sample everything,0.8080808080808082
641,5,oblivious (partial),0.8787878787878789
642,0,active (partial),0.8686868686868687
643,1,active (partial+cons_cv),0.8686868686868687
644,2,active (shifted),0.8686868686868687
645,3,active (full),0.8585858585858587
646,4,sample everything,0.8989898989898991
647,5,oblivious (partial),0.8484848484848485
648,0,active (partial),0.8686868686868687
649,1,active (partial+cons_cv),0.8686868686868687
650,2,active (shifted),0.8686868686868687
651,3,active (full),0.8686868686868687
652,4,sample everything,0.888888888888889
653,5,oblivious (partial),0.8686868686868687
654,0,active (partial),0.8787878787878789
655,1,active (partial+cons_cv),0.8787878787878789
656,2,active (shifted),0.888888888888889
657,3,active (full),0.8686868686868687
658,4,sample everything,0.8989898989898991
659,5,oblivious (partial),0.8585858585858587
660,0,active (partial),0.8686868686868687
661,1,active (partial+cons_cv),0.8686868686868687
662,2,active (shifted),0.8787878787878789
663,3,active (full),0.8686868686868687
664,4,sample everything,0.888888888888889
665,5,oblivious (partial),0.8686868686868687
666,0,active (partial),0.8686868686868687
667,1,active (partial+cons_cv),0.8686868686868687
